MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
09-Apr-98,Zimbabwe,Cuttack,1,18,2,0,0,50,2,caught,1,182,1998
07-Apr-98,Australia,Kanpur,100,132,89,5,7,112.35,2,caught,2,181,1998
05-Apr-98,Zimbabwe,Vadodara,5,44,17,0,0,29.41,2,run out,1,180,1998
01-Apr-98,Australia,Kochi,8,21,11,1,0,72.72,2,caught,1,179,1998
18-Jan-98,Pakistan,Dhaka,41,,26,7,1,157.69,2,caught,2,178,1998
16-Jan-98,Pakistan,Dhaka,1,14,6,0,0,16.66,2,bowled,1,177,1998
14-Jan-98,Pakistan,Dhaka,95,104,78,6,5,121.79,2,bowled,2,176,1998
11-Jan-98,Pakistan,Dhaka,67,,44,11,0,152.27,2,stumped,1,175,1998
10-Jan-98,Bangladesh,Dhaka,54,104,76,4,0,71.05,4,caught,2,174,1998
28-Dec-97,Sri Lanka,Margao,6,23,13,0,0,46.15,3,caught,1,173,1997
25-Dec-97,Sri Lanka,Indore,-1,-1,-1,-1,-1,-1,-1,-1,,172,1997
22-Dec-97,Sri Lanka,Guwahati,82,110,86,6,0,95.34,4,not out,2,171,1997
16-Dec-97,West Indies,Sharjah,1,3,2,0,0,50,4,run out,2,170,1997
14-Dec-97,Pakistan,Sharjah,3,4,4,0,0,75,5,caught,1,169,1997
11-Dec-97,England,Sharjah,91,146,87,4,2,104.59,4,stumped,2,168,1997
02-Oct-97,Pakistan,Lahore,7,19,11,1,0,63.63,1,caught,1,167,1997
